n,p,num_indices,nrow,nodes_explored_mean,solve_time_relaxation_mean,time_taken_geomean,relative_gap_root_node_geomean,relative_gap_geomean,MSE_all_initial_geomean,MSE_all_geomean,MSE_isvd_geomean,MSE_mf_geomean,k,MSE_ratio,MSE_difference,MSE_mf_ratio,MSE_mf_difference,MSE_isvd_ratio,MSE_isvd_difference
40,2.5,212,50,1811.74,1.821021605293596,3600.7734837539224,0.043030312889607535,0.013620000670180507,0.09713853514999159,0.08706923186806444,0.06389336037649615,1.1082053291424785,1,0.11564708986045856,0.01006930328192715,11.727863854613263,1.0211360972744141,-0.2661775117838017,-0.023175871491568287
40,3.0,120,50,1663.76,1.9963935747251824,3601.1188773667786,0.05038242223841109,0.02177280712916571,0.2753517908508775,0.2528515205615275,0.2180341505036948,1.3722491938923875,1,0.08898609840028604,0.022500270289350033,4.427094884954319,1.1193976733308602,-0.137698875531818,-0.0348173700578327
40,3.0,193,50,1593.88,2.1289319849863046,3601.1600911018504,0.04537765941388673,0.018083725630045355,0.12600735638881347,0.11705613278444751,0.08862644013212581,1.1596705591138303,1,0.0764694970817902,0.008951223604365954,8.906961143584851,1.0426144263293828,-0.24287230387726402,-0.028429692652321703
40,3.0,254,50,1773.06,1.8729292525335068,3586.787752510813,0.04185184554291922,0.010281047454125343,0.0716748848612396,0.06189223456612865,0.04243088195747539,1.013564948965321,1,0.15805941349005098,0.009782650295110953,15.376286234784093,0.9516727143991922,-0.3144393274064101,-0.01946135260865326
50,2.0,100,50,1019.36,3.273236590466502,3601.845083665752,0.39493335242180966,0.10275466530530672,0.803601178688698,0.7671484719388678,0.7597647527081661,1.5499124164323534,1,0.04751714704938495,0.036452706749830144,1.0203552156144582,0.7827639444934856,-0.009624889445507599,-0.007383719230701691
50,2.0,170,50,1035.14,3.23956874026547,3601.894905357921,0.033438189906429244,0.016570919304420933,0.24666177239290143,0.23300997013926247,0.19061679976614598,1.4276077790370287,1,0.05858891894402512,0.013651802253638962,5.126809845019911,1.1945978088977662,-0.18193715207885514,-0.04239317037311649
50,2.0,235,50,944.04,3.5564069779607252,3580.194130857404,0.027336109589818334,0.010866298315183489,0.14361315311255596,0.13432312623048026,0.09657505383031526,1.2138239791373262,1,0.06916178280525775,0.009290026882075697,8.036597146008715,1.079500852906846,-0.28102437353486276,-0.037748072400165006
50,2.5,125,50,1036.06,3.229514161297198,3601.8842483686667,0.07586321783972286,0.026190531704505436,0.4681395391612546,0.4276599327651702,0.3823084793364246,1.4660255547982135,1,0.09465372669904033,0.04047960639608439,2.428017081981851,1.0383656220330433,-0.1060455982759748,-0.045351453428745636
50,2.5,213,50,1015.02,3.325619222973127,3601.9249819570573,0.02706080517104104,0.013413548031601094,0.1766150530002728,0.1663760752817507,0.12442284241039346,1.2922926551346203,1,0.06154116630761272,0.010238977718522113,6.7672985911356465,1.1259165798528696,-0.25215904871124795,-0.04195323287135723
50,2.5,294,50,909.34,3.768655978415959,3602.1214646190847,0.024686163781865385,0.00678130159422669,0.09525991072507639,0.08558427735270736,0.060512653355041794,1.04227337958156,1,0.11305386540210063,0.009675633372369027,11.178327746884793,0.9566891022288526,-0.2929466109100991,-0.02507162399766557
